,26_08_2016,,,,2_09_2016,,,,6_9_206,,,,9_9_2016,,,,23_9_2016,,,,27_9_2016,,,,7_10_2016,,,,11_10_2016,,,,14_10_2016,,,,21_10_2016,,,,24_10_2016,,,,28_10_2016,,,,1_11_2016,,,,4_11_2016,,,,8_11_2016,,,,11_11_2016,,,,15_11_2016,,,,18_11_2016,,,,25_11_2016,,,,29_11_2016,,,,2_12_2016,,,
,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE,XSW,XNW,XNE,XSE
1,1124,1003,4766,4828,903,830,4705,4685,867.3008371,807.3709576,4755.477498,4726.226615,745.9086201,860.8260295,4932.346173,4875.707293,645.6998068,848.8254508,4702.760259,4588.858096,766.6653434,881.9280354,4670.916126,4667.530619,748.3634803,930.470568,4670.558414,4617.487236,834.2187754,1036.05289,4771,4771,1010.741401,1085.897773,4868.023723,4829.130125,934.2373034,1115.178918,4924.835063,4864.538546,891.6693136,994.1442774,4799.732903,4739.629324,797.1799918,1081.830148,4860.374277,4793.600002,822.1736624,935.3178902,4864.057905,4743.48041,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,896.8161187,1078.266464,4770.914124,4603.449489,964.4372793,1013.94425,4846.244312,4738.599606,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4787,4711
2,1081,960,4818,4939,903,830,4705,4685,820.1687118,920.5089851,4795.940537,4756.793032,724.2967705,844.0824971,4917.445165,4715.247612,572.6875891,823.2597838,4624.768262,4530.940172,668.265753,953.8140374,4658.515068,4577.305502,779.3355826,929.9196594,4647.816486,4626.795656,834.2187754,1036.05289,4771,4771,963.8234015,1053.482204,4921.168002,4874.961791,927.2816637,1026.084977,4940.722602,4904.438167,891.6693136,994.1442774,4799.732903,4739.629324,797.1799918,1081.830148,4860.374277,4793.600002,829.6241856,911.1656031,4879.765543,4766.826415,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,896.8161187,1078.266464,4770.914124,4603.449489,964.4372793,1013.94425,4846.244312,4738.599606,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
3,1093,984,4866,4925,903,830,4705,4685,795.6364101,904.9486023,4760.160097,4765.478906,738.1789263,856.6426282,4915.166818,4860.641737,675.0086301,838.2776117,4632.595027,4577.560539,754.8281735,820.0792138,4665.781627,4665.553029,779.3355826,929.9196594,4647.816486,4626.795656,834.2187754,1036.05289,4771,4771,963.8234015,1053.482204,4921.168002,4874.961791,927.2816637,1026.084977,4940.722602,4904.438167,891.6693136,994.1442774,4799.732903,4739.629324,797.1799918,1081.830148,4860.374277,4793.600002,829.6241856,911.1656031,4879.765543,4766.826415,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,896.8161187,1078.266464,4770.914124,4603.449489,964.4372793,1013.94425,4846.244312,4738.599606,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
4,1129,1024,4814,4814,903,830,4705,4685,880,880,4809.758955,4775.477646,711.6132028,867.333038,4930.315574,4798.578991,664.6258428,858.4503535,4625.724618,4571.421991,748.1483657,938.5453817,4663.52518,4621.201412,758.5983743,953.2374591,4695.778779,4635.457503,834.2187754,1036.05289,4771,4771,931.2260511,1128.195176,4923.790865,4863.511893,927.2816637,1026.084977,4940.722602,4904.438167,891.6693136,994.1442774,4799.732903,4739.629324,838.1217689,1112.512166,4879.012784,4758.700286,829.6241856,911.1656031,4879.765543,4766.826415,821.662748,1010.462278,4807.099483,4686.341154,907.2681596,1084.390756,4783.765079,4723.320821,923.4390866,1083.092277,4789.614765,4684.261952,952.5479439,1025.684952,4916.99703,4736.638124,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
5,1080,1020,4768,4829,903,830,4705,4685,873,873,4801.489808,4816.291862,760.7540229,842.2373969,4867.155618,4889.131352,611.1817664,841.7405808,4568,4568,724.5828048,950.608235,4641.983566,4620.56206,739.8173285,958.2518018,4700.78626,4640.407901,834.2187754,1036.05289,4771,4771,962.3298436,1128.945555,4901.819025,4841.432643,878.2850852,1055.598907,4964.735765,4904.456276,891.6693136,994.1442774,4799.732903,4739.629324,838.1217689,1112.512166,4879.012784,4758.700286,848.2951203,989.0438236,4776.843149,4716.43862,806.5793015,992.2493206,4726.97031,4606.352881,901.7678505,1073.753397,4779.745615,4719.374972,923.4390866,1083.092277,4789.614765,4684.261952,957.8029799,1064.002024,4799.776759,4739.27027,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
6,1098,996,4866,4866,903,830,4705,4685,877,877,4769.692732,4768.449373,734.8647575,830.4660883,4874.062036,4852.893748,628.744508,857.5340524,4557,4557,709.8920725,923.9466153,4621.296546,4631.41448,795.1221632,942.8273638,4638.590713,4618.825873,834.2187754,1036.05289,4771,4771,1004.002143,1094.796916,4866.744737,4806.457594,878.2850852,1055.598907,4964.735765,4904.456276,891.6693136,994.1442774,4799.732903,4739.629324,838.1820323,1079.969428,4836.006587,4789.321132,848.2951203,989.0438236,4776.843149,4716.43862,806.5793015,992.2493206,4726.97031,4606.352881,939.6017953,1065.922887,4729.280582,4731.780636,923.4390866,1083.092277,4789.614765,4684.261952,943.6460102,1059.999816,4783.666342,4723.695284,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
7,1107,976,4811,4846,903,830,4705,4685,860.7571739,921.1176253,4766.772153,4830.011363,753.633376,846.6395235,4937.912568,4799.738394,644.2108813,841.3964513,4613.494461,4548.476586,771.6885639,893.6261566,4644.52238,4632.093801,765.2610934,955.0762715,4694.753254,4634.377031,834.2187754,1036.05289,4771,4771,1040.619863,957.2897451,4843,4843,878.2850852,1055.598907,4964.735765,4904.456276,936.6692398,1039.139189,4764,4764,838.1820323,1079.969428,4836.006587,4789.321132,848.2951203,989.0438236,4776.843149,4716.43862,822.1317138,1015.070722,4767.975997,4647.44426,985.9393132,1072.635713,4751.67722,4745.416163,923.4390866,1083.092277,4789.614765,4684.261952,1129.581622,1102,4835.7836,4671.206328,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
8,1089,966,4819,4935,903,830,4705,4685,832.0779229,895.7252101,4749.06859,4733.535411,752.7879951,887.0423222,4893.491226,4789.301754,605.3850312,852.4473369,4551,4551,760.3905266,909.9370143,4676.621403,4671.614976,765.2610934,955.0762715,4694.753254,4634.377031,912.9116277,1088.198904,4823.640711,4763.515275,1040.619863,957.2897451,4843,4843,936.6130181,1109.32744,4989.198454,4868.527827,936.6692398,1039.139189,4764,4764,851.0324978,1103.472685,4833.809104,4773.454148,848.4162437,995.0862806,4827.944613,4707.4932,837.4621016,927.6995221,4768.960665,4648.339828,958,1136.431362,4727.435387,4674.68655,818.6571481,1130.085689,4777.157667,4656.06533,950,1101.490599,4822.07639,4701.388493,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
9,1138,986,4828,4828,903,830,4705,4685,892.2937257,832.2264048,4774.602152,4781.647941,772.5523752,883.121523,4902.838256,4758.788899,575.5313962,897.063411,4577.490156,4590.331635,741.7511962,954.3264883,4606.047289,4612.575193,794.9153219,962.0418712,4678.187468,4601.492745,912.9116277,1088.198904,4823.640711,4763.515275,1043.006328,1113.777418,4861.164224,4849.561468,936.6130181,1109.32744,4989.198454,4868.527827,936.6692398,1039.139189,4764,4764,851.0324978,1103.472685,4833.809104,4773.454148,848.4162437,995.0862806,4827.944613,4707.4932,808.0914018,956.8931713,4791.918213,4610.838466,903.3340934,1077.591411,4727.641602,4667.600277,818.6571481,1130.085689,4777.157667,4656.06533,975.7273404,1068.835023,4849.121094,4728.375026,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
10,1071,981,4791,4907,903,830,4705,4685,884,884,4783.641269,4750.388486,728.7260346,907.3045865,4907.985475,4743.460646,605.7433065,867.3508729,4601.238996,4550.882883,763.6278675,924.2675866,4628.168799,4630.161651,795.8984795,994.9775631,4696.848252,4609.584873,912.9116277,1088.198904,4823.640711,4763.515275,1055.397223,1130.887707,4903.730154,4843.446773,913.8037816,1075.119833,4975.422733,4878.589449,936.6692398,1039.139189,4764,4764,888.6053492,1098.26073,4817.226275,4783.5932,848.4162437,995.0862806,4827.944613,4707.4932,826.4655213,1029.775272,4766.8373,4634.954694,874.4998073,1079.110089,4747.088988,4690.719695,818.6571481,1130.085689,4777.157667,4656.06533,955.1273922,1096.514733,4822.312433,4724.094394,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
11,1053,862,4740,4846,903,830,4705,4685,797.2755971,912.7373978,4827.373358,4852.641272,762.994071,875.2672066,4899.627329,4768.331293,643.8139638,861.8274847,4600.110397,4544.801673,752.659075,949.8640566,4646.939547,4632.818853,734.9372115,964.0577038,4713.093809,4592.312737,912.9116277,1088.198904,4823.640711,4763.515275,1054.443803,1149.766204,4926.901265,4866.374406,876.5095,1118.214507,4943.621508,4895.065265,936.6692398,1039.139189,4764,4764,941.3059609,1108.068706,4860.606545,4800.505328,883.9083345,1011.947059,4765.091626,4722.091242,806.1291369,997.1488046,4738.034975,4617.371238,938.0721201,1085.108671,4754.853582,4727.375702,818.6571481,1130.085689,4777.157667,4656.06533,963.8080153,1056.590852,4817.87884,4697.540923,946,1016,4750.07234,4629.375944,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
12,1105,986,4806,4847,903,830,4705,4685,840.1219414,880.4877264,4747.675825,4736.866045,692.5569949,859.2082687,4905.378202,4758.702229,687.8110318,877.5833298,4575.964174,4544.454043,763.247224,960.6874048,4649.267125,4611.39666,778.9795654,979.2200203,4626.387951,4627.14243,911.7569941,1053.804709,4752.499208,4783.744023,1019.107743,1092.363474,4964.566989,4893.246662,932.1953521,1070.620267,4937.656726,4896.199869,936.6692398,1039.139189,4764,4764,785.7186622,1147.908253,4809.048035,4792.731641,883.9083345,1011.947059,4765.091626,4722.091242,859.2991033,1016.208538,4748.444896,4624.340834,811.9754123,1114.499226,4730.267418,4714.148684,944.4732224,1084.843292,4771.3185,4655.545208,930.0549405,1098.506979,4804.499552,4702.420988,896.0742584,968.7163187,4801.024203,4574.520345,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
13,1059,1028,4748,4866,903,830,4705,4685,815.9170968,893.7137716,4766.56599,4782.001986,728.2457013,880.8972958,4864.638486,4796.957938,674.1939353,809.1731779,4697.94906,4550.778665,714.1426642,885.738906,4699.805131,4670.241625,757.1467283,930.3667088,4710.475798,4682.710502,903.0977104,1006.362195,4821.492085,4803.489151,1008.141854,1092.186457,4942.23522,4882.200561,820.520643,1061.90198,4911.879631,4830.379024,936.6692398,1039.139189,4764,4764,785.7186622,1147.908253,4809.048035,4792.731641,825.7064977,976.4050327,4813.842121,4726.821976,877.3982873,944.4460567,4824.408115,4619.079112,770.3304321,1072.212048,4817.165595,4787.065516,942,1073.162378,4806.488344,4580.2468,1009.388242,1020.01498,4834.330003,4656.265935,896.0742584,968.7163187,4801.024203,4574.520345,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
14,1108,1016,4787,4905,903,830,4705,4685,829.1701817,858.4472381,4777.946265,4822.886472,697.5200365,880.1454834,4886.413633,4895.177734,621.1197066,715.3812166,4714.225406,4556.670142,735.2773856,886.5797729,4710.313229,4644.322461,773.7340844,909.4697411,4765.074022,4644.296667,911.4330345,1061.530841,4897.269269,4776.317188,1037.503556,1096.52068,4949.832978,4889.469146,904.1198123,1093.846614,4974.713628,4858.148951,873.2233712,1045.878272,4871.956469,4690.909004,913.7101117,1077.987697,4899.143,4778.605093,852.6447987,917.3859539,4837.837492,4695.411384,877.3982873,944.4460567,4824.408115,4619.079112,931.9461111,1020.600065,4813.073146,4698.07551,864.8882105,1046.276859,4834.298679,4651.159957,855.5680221,1036.462736,4876.921897,4696.041338,896.0742584,968.7163187,4801.024203,4574.520345,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
15,1094,1016,4808,4926,903,830,4705,4685,875,875,4719.567814,4804.748029,744.7307949,890.900714,4839.579372,4856.810564,632.2813274,825.4714901,4624.77613,4504.259279,814.7580167,913.1636488,4710.78176,4583.204141,766.7248173,921.6475746,4747.686509,4611.717831,881.0572125,1021.744864,4859.121866,4738.435647,1029.83004,1075.42325,4976.108886,4855.554038,911.2180879,1070.845196,4962.09077,4841.531246,873.2233712,1045.878272,4871.956469,4690.909004,913.7101117,1077.987697,4899.143,4778.605093,857.2107156,963.9853846,4863.004743,4681.806675,889.5880179,936.5538198,4783.803543,4602.772895,997.6522163,1062.641537,4795.99742,4675.355704,879.6522543,1019.408993,4866.971762,4663.37361,957.8645879,1030.78234,4898.904316,4728.170936,896.0742584,968.7163187,4801.024203,4574.520345,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
16,1052,992,4775,4894,903,830,4705,4685,817.5544658,906.7237111,4745.650791,4779.682229,701.2834617,876.7580581,4912.157027,4866.374909,637.2560382,766.5615925,4713.578576,4546.750404,691.8380966,912.7685219,4702.286887,4636.653753,769.7196325,915.7312514,4726.982259,4649.786012,881.0572125,1021.744864,4859.121866,4738.435647,1075.930328,1087.826745,4948.256284,4892.677466,936.8504986,1074.918605,4982.47946,4878.766976,873.2233712,1045.878272,4871.956469,4690.909004,907.4684443,1058.808778,4878.116872,4757.621725,896.5283591,980.0935233,4890.06575,4708.901947,889.5880179,936.5538198,4783.803543,4602.772895,952.2766954,1021.856774,4822.205257,4713.4512,947.1078164,1007.773105,4804.770201,4616.092209,991.2395797,1047.211141,4826.868945,4645.879611,888.8932546,948.8969431,4838.772563,4659.622278,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
17,1079,1019,4796,4850,903,830,4705,4685,834.8535847,925.4546339,4671.991642,4861.581678,723.3301393,871.200938,4913.925995,4872.832755,648.708458,794.8510344,4670.369969,4571.66965,770.7610003,844.087052,4725.037912,4638.959349,775.2912893,923.6311443,4743.794793,4683.487613,848.7483787,1037.242388,4873.948734,4813.362619,1010.425294,1100.654515,4973.775797,4913.55361,907.7092156,1037.045784,4969.774757,4909.455107,884.2352041,1067.674402,4915.005233,4733.9752,740.2567898,931.5660887,4930.098279,4809.331535,852.4719234,966.7189588,4828.969589,4708.492859,916.8347118,948.6411331,4856.288777,4614.796972,877.1819912,992.3253834,4828.962925,4708.58909,851.0298996,1056.291035,4821.009256,4679.344341,953.2432155,1031.698885,4893.375871,4686.099916,888.8932546,948.8969431,4838.772563,4659.622278,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
18,1099,1039,4747,4847,903,830,4705,4685,838.8649639,929.7094576,4734.740721,4781.626254,701.7696394,831.7440767,4901.380647,4886.307687,646.388106,780.5484816,4656.934453,4545.687601,734.5798715,884.6371855,4683.244038,4586.312644,775.2912893,923.6311443,4743.794793,4683.487613,848.7483787,1037.242388,4873.948734,4813.362619,990.6662275,1114.614839,4972.713208,4912.574565,907.7092156,1037.045784,4969.774757,4909.455107,884.2352041,1067.674402,4915.005233,4733.9752,740.2567898,931.5660887,4930.098279,4809.331535,852.4719234,966.7189588,4828.969589,4708.492859,916.8347118,948.6411331,4856.288777,4614.796972,876.5678102,1040.669672,4820.800079,4745.053791,934,1073.086483,4867.842825,4486.24497,967.7423314,1022.576949,4844.093079,4723.492842,888.8932546,948.8969431,4838.772563,4659.622278,1142,1267.681793,4942.94222,4762.044437,874,986,4663,4579,1018,1138,4935,4847
19,1078,959,4825,4944,903,830,4705,4685,857.2247623,904.4962003,4810.004505,4808.041303,718.0948505,881.9450295,4922.113921,4839.986553,610.6323493,800.4347082,4634.381327,4558.326298,796.2364226,859.7498945,4709.183928,4603.400736,768.65133,951.1532843,4696.078868,4614.58198,902.7338862,1062.256312,4909.030316,4788.560311,1052.579866,1125.537753,4945.177977,4853.541394,907.7092156,1037.045784,4969.774757,4909.455107,884.2352041,1067.674402,4915.005233,4733.9752,891.2799164,1071.421752,4907.158372,4786.488675,872.5460164,970.2931354,4895.978976,4714.76158,893.2390534,980.4375471,4872.321425,4630.711398,975.679986,1043.791103,4807.114134,4686.35339,922.0176632,1017.740304,4809.903241,4611.830257,918.9236031,1063.7426,4877.663906,4663.466691,888.8932546,948.8969431,4838.772563,4659.622278,1142,1267.681793,4942.94222,4762.044437,874,986,4563,4479,1018,1138,4935,4847
